N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.129.001/2009;9/9/2009 00:00;ALBARELLOS AV.;2645;ALBARELLOS AV. 2645;075-065-038;975.72;3/6/2013 00:00;MULTIVIVIENDA;R2B II;DEMOLICION TOTAL Y OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419FSD;-34.57585896980368;-58.50709092153584
1.129.698/2009;9/9/2009 00:00;ACHA, MARIANO, GRAL.;2561;ACHA, MARIANO, GRAL. 2561;053-072-013;160.02;25/8/2011 00:00;UNIVIVIENDA;R2B I;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA URQUIZA;COMUNA 12;1430;C1430DUY;-34.56949341631614;-58.47948302650699
1.130.416/2009;9/9/2009 00:00;CONESA;4170;CONESA 4170;043-117-001B;366.49;6/1/2011 00:00;MULTIVIVIENDA;R2B I;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1429;C1429ALZ;-34.54740733104079;-58.47641830537466
1.131.865/2009;9/9/2009 00:00;SARMIENTO;2037;SARMIENTO 2037;009-061-033;9891.33;11/5/2011 00:00;EDUCACION;C3 I;OBRA NUEVA;BALVANERA;COMUNA 3;1044;C1044AAE;-34.605858163658944;-58.39575631806719
1.132.907/2009;9/9/2009 00:00;CHARCAS;4641;CHARCAS 4641;019-159-024;1559.80;14/1/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425BNQ;-34.58170609718638;-58.425678501323674
1.136.372/2009;10/9/2009 00:00;SALGUERO, JERONIMO;3066;SALGUERO, JERONIMO 3066;021-106-019;445.90;6/1/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425DFO;-34.57722470320853;-58.40557341595017
1.135.982/2009;10/9/2009 00:00;ARTIGAS MANUEL DE;7149;ARTIGAS MANUEL DE 7149;074-039B-034;489.01;14/11/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MATADEROS;COMUNA 9;1440;C1440BSO;-34.65858033642861;-58.51212426726813
1.136.690/2009;10/9/2009 00:00;CAMPANA;4846;CAMPANA 4846;083-225-038;1344.32;12/10/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA DEVOTO;COMUNA 11;1419;C1419AHR;-34.588269112007275;-58.50866674346111
1.138.763/2009;10/9/2009 00:00;FITZ ROY;1923;FITZ ROY 1923;035-058-022;1101.73;12/10/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414CIC;-34.58256323741722;-58.434416654275715
1.144.210/2009;11/9/2009 00:00;ENTRE RIOS AV.;1697;ENTRE RIOS AV. 1697;024-102-037;1512.48;13/1/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PARQUE PATRICIOS;COMUNA 4;1133;C1133AAE;-34.62843051017545;-58.39114777954594
